feature,value,importance
302,repeat,0.0
303,free,0.0
304,larg,0.0
305,thicken,0.0
306,fibril,0.0
307,stop,9.492212869570821E-4
308,test,0.0
309,vomit,0.0
310,see,0.0
311,vancomycin,0.0
312,vein,0.0
313,diet,0.0
314,aorta,0.0
315,abd,0.0
316,htn,0.0
317,later,0.009174777560733574
318,air,0.0
319,typ,0.0
320,seizur,0.0
321,neuro,0.0
322,qd,0.0
323,vital,0.0
324,depress,0.0
325,discontinu,0.0
326,return,0.0
327,stool,0.0022661846055311054
328,area,0.0
329,sound,0.0
330,pcp,0.0
331,orient,0.0
332,ago,0.0
333,hematocrit,0.0
334,solut,0.008389756111038144
335,ra,0.0
336,check,0.0
337,current,0.0
338,tablet,0.0
339,abnorm,0.0
340,dry,0.0
341,anterior,0.0
342,lisinopril,0.0
343,lad,3.358822564404505E-5
344,resolv,0.0
345,phone,0.0
346,carotid,0.0
347,sat,0.0
348,schedul,0.0
349,full,0.0
350,skin,0.0
351,chlorid,0.0
352,v,0.0
353,mb,0.003947605737973598
354,creatinin,0.003869866606807877
355,ast,0.0
356,constip,0.004253269356601112
357,alt,0.0
358,infarct,0.0
359,extub,0.0
360,limit,0.0
361,demonstr,0.0
362,complic,0.0
363,lymph,0.0
364,cough,0.0
365,high,0.0
366,rehab,0.00568276616060476
367,weight,0.0
368,gi,0.007117988375268357
369,ble,0.0
370,gram,0.0
371,scan,0.0
372,wheez,0.0
373,etoh,0.0
374,emerg,0.0
375,anemia,0.0
376,drainag,0.003944131890984552
377,cad,0.003191111243886361
378,suggest,0.0
379,echo,0.0
380,murmur,0.0
381,cathet,0.0
382,obtain,0.0
383,acetaminophen,0.0
384,offic,0.0
385,cancer,0.0
386,sustain,0.0
387,oral,0.0
388,restart,0.0
389,worsen,0.0
390,abl,0.0
391,pericardi,0.0
392,bypass,0.0
393,question,0.002081342602832716
394,oxygen,0.0
395,held,0.004906530924765241
396,rr,0.0
397,treatment,0.0
398,taken,0.0
399,catheter,0.0
400,ext,0.0
401,morn,0.0
402,done,0.0
403,white,0.0
404,site,0.0
405,wean,0.0
406,distal,0.0
407,atrium,0.0
408,drop,0.0
409,leg,0.0
410,neurolog,0.0
411,unchang,0.0
412,red,0.0
413,made,0.0
414,ulcer,0.0
415,distress,0.0
416,ventricl,0.0
417,caus,0.0
418,stai,0.0
419,addit,0.0
420,albuterol,0.0
421,hematoma,0.0
422,doctor,0.0
423,weak,0.0
424,record,0.0
425,micu,0.007835608605003576
426,diffus,0.0
427,docus,0.0
428,state,0.0
429,obstruct,0.0
430,region,0.0
431,mri,0.0
432,smoke,0.0
433,suppl,0.0
434,aspir,0.0
435,previou,0.0
436,movem,0.0
437,ekg,0.0
438,upon,0.0
439,diarrhea,0.0
440,osh,0.0023078990933339135
441,pod,0.0
442,motion,0.0
443,drip,0.0
444,ag,0.0
445,subsequ,0.0
446,male,0.0
447,mid,0.0
448,warm,0.0
449,intraven,0.0
450,hd,0.0
451,ctropnt,0.0
452,discuss,0.0
453,femor,0.0
454,kidnei,0.0
455,ey,0.0
456,drain,0.0
457,review,0.0
458,strength,0.0
459,greater,0.0
460,thought,0.0
461,physician,0.0
462,vessel,0.002274133352008879
463,focal,0.0
464,scale,0.0
465,arriv,0.0
466,maintain,0.0
467,ph,0.0
468,chill,0.0
469,depart,0.0
470,cv,0.0
471,diagnos,0.0
472,cta,0.0
473,op,0.0
474,intens,0.0
475,chf,5.845472771391903E-4
476,cath,0.0063569562469791
477,vascular,0.0
478,caviti,0.0
479,lactat,0.0
480,posterior,0.0
481,prednison,0.008193008929049719
482,otherwis,0.0
483,system,0.0
484,approxim,0.0
485,plan,0.0
486,hemodynam,0.0
487,st,0.0
488,hepat,0.00711781834316767
489,prescrib,0.0
490,tab,0.0
491,vitamin,0.0
492,regimen,0.0
493,headach,0.0
494,rrr,0.0
495,make,0.0
496,sent,0.0
497,tobacco,0.0
498,congest,0.0031343930489054262
499,cc,0.004787660725292785
500,inject,0.006117219619878885
501,issu,0.0
502,direct,0.0
503,ambul,0.0
504,relat,0.0
505,drink,0.0037401423302050344
506,mono,0.0
507,afebril,0.0
508,co,0.0
509,asa,0.0
510,transfus,0.002271030613476319
511,difficulti,0.0
512,spine,0.0020370038359327613
513,minim,0.0
514,next,0.0
515,h,0.0
516,appropri,0.0
517,dictat,0.0
518,feel,0.0
519,patch,2.881878034411653E-4
520,atelectasi,0.0
521,replac,0.0
522,nad,0.0
523,ii,0.0
524,persist,0.0
525,subcutan,0.0
526,loss,0.004393794839399453
527,oxycodon,0.0
528,slide,0.0
529,volum,0.0
530,cpk,0.0
531,descend,0.0
532,dm,0.0
533,close,0.0
534,eo,0.0
535,assess,0.0
536,night,0.0
537,bed,0.0
538,amiodaron,0.0
539,onc,0.0
540,chewabl,0.0
541,tissu,0.0
542,trace,0.0
543,repair,0.0
544,femal,0.004172676043170492
545,yo,0.0046552536476368025
546,folei,0.0
547,symmetr,0.0
548,get,0.0
549,levofloxacin,0.0
550,copd,0.0
551,nurs,0.0
552,compar,0.0
553,neut,0.0
554,fall,0.0
555,ef,0.0
556,baso,0.0
557,amount,0.0
558,tachycardia,0.0
559,indic,0.0
560,go,0.0
561,arm,0.007578840379549654
562,rai,0.0
563,assist,0.0
564,measur,0.0
565,m,0.0
566,gen,0.0
567,unabl,0.0
568,plavix,0.0
569,first,0.0
570,associ,0.0
571,although,0.0
572,contact,0.0
573,colon,0.0
574,stroke,0.0
575,proxim,0.0
576,puff,0.0
577,interv,0.0
578,lvef,0.0
579,progress,0.0
580,dyspnea,0.0
581,doppler,0.003864001263100392
582,sulfat,0.0
583,goal,0.0
584,mi,0.0
585,totbili,0.0
586,acid,0.0
587,identifi,0.0
588,brain,0.0
589,injuri,0.0
590,sob,0.0
591,cabg,0.0
592,alkpho,0.0
593,minut,0.016989171171597484
594,perfus,0.0
595,midlin,0.0
596,sedat,0.0
597,extens,0.0
598,opac,0.0
599,pack,0.0
600,repres,0.0
601,sbp,0.008391515614746554
602,intern,0.0
603,sourc,0.0
604,poor,0.0
605,dp,0.0
606,distend,0.0
607,bruit,0.0
608,rash,0.0
609,effect,0.0
610,structur,0.0
611,abov,0.0
612,flow,0.0
613,quit,0.0
614,laboratori,0.0
615,mother,0.0
616,ultrasound,0.0
617,unremark,0.0
618,slightli,0.0
619,visual,0.0
620,wife,0.0
621,temperatur,0.0
622,confus,0.0013528046763421119
623,swell,0.0
624,biopsi,0.0
625,open,0.0
626,color,0.0
627,hcl,0.0
628,b,0.0038923815401603066
629,risk,0.0
630,less,0.0
631,eomi,0.0
632,number,0.0
633,light,0.0
634,gap,0.0
635,tartrat,0.0
636,picc,0.0013392907165159186
637,pend,0.0
638,swallow,0.0
639,warfarin,0.0
640,rest,0.0
641,inferior,0.0
642,anicter,0.0
643,move,0.0
644,abus,0.0
645,venou,0.0
646,output,0.0
647,infecti,0.0
648,intervent,0.0
649,aneurysm,0.0
650,show,0.0
651,thorac,0.0
652,growth,0.0
653,wave,0.0
654,urinari,0.0
655,process,0.0
656,platelet,0.0
657,satur,0.0
658,frontal,0.0
659,pneumothorax,0.006712109344457532
660,pupil,0.0
661,even,0.0
662,pelvi,0.0
663,peripher,0.0
664,etiologi,0.0
665,qh,0.0
666,job,0.0
667,bodi,0.0
668,hyperlipidemia,0.0016108242569402003
669,hold,0.0
670,help,0.0
671,iron,0.0
672,senna,0.0
673,urea,0.0
674,nc,0.0
675,code,0.0
676,rub,0.0
677,pancreat,0.0
678,beta,0.0
679,involv,0.0
680,keep,0.0
681,sputum,0.0
682,respons,0.0
683,becam,0.0
684,thick,0.0
685,steroid,0.0023290081117180745
686,knee,0.0
687,still,0.0
688,previous,0.0
689,conscious,0.0
690,furosemid,0.0
691,drive,0.0015757394500215023
692,daughter,0.0
693,obes,0.0
694,magnesium,0.0
695,reason,0.0
696,flagyl,0.0
697,rapid,0.0
698,anion,0.0
699,pantoprazol,0.0
700,cardiologi,0.0
701,nd,0.0
702,nt,0.0
703,transit,0.0
704,tylenol,0.0
705,anxieti,0.0
706,medquist,0.0
707,atorvastatin,0.0
708,team,0.0
709,gtt,0.0
710,neurologi,0.010949742957103189
711,locat,0.0
712,lift,0.0
713,cervic,0.0
714,speech,0.0017994266747738221
715,qid,0.0
716,erythema,0.0
717,occasion,0.0
718,father,0.0
719,comfort,0.0
720,sensat,0.0
721,albumin,0.0
722,transplant,0.007873672259741386
723,med,0.0
724,todai,0.006839137728265182
725,anticoagul,0.0
726,central,0.0
727,build,0.0
728,resect,0.0
729,around,0.0
730,end,0.006224304228046383
731,sclera,0.0
732,overal,0.0
733,lopressor,0.0
734,heal,0.0
735,diastol,0.0
736,rehabilit,0.0
737,sensit,0.0
738,di,0.0
739,nl,0.0
740,rang,0.0
741,support,0.0
742,best,0.0
743,enlarg,0.0
744,refer,0.0
745,consid,0.0
746,surgeon,0.0
747,dysfunct,0.0
748,egd,0.0
749,interact,0.0
750,ascend,0.0
751,rca,0.0
752,center,0.0
753,chamber,0.0
754,defect,0.0
755,ldh,0.0
756,liquid,0.0
757,myocardi,0.002175395156395133
758,sleep,0.0
759,hip,0.0
760,radiat,0.0
761,hx,0.0
762,echocardiogram,0.0
763,nasal,0.0
764,simvastatin,0.0
765,recurr,0.005131652046292369
766,perrl,0.0
767,attempt,0.0
768,lead,0.0
769,cr,0.0031468146072770927
770,trauma,0.0
771,dvt,0.0
772,pe,0.0
773,complain,0.0
774,colac,0.0
775,collect,0.0
776,unclear,0.0
777,mellitu,0.0
778,son,0.0
779,though,0.0
780,patent,0.0055516669566812666
781,eject,0.0
782,field,0.0
783,hernia,0.0
784,grossli,0.0
785,pre,0.0
786,nontend,0.0
787,auscult,0.0
788,sepsi,0.0
789,bone,0.0
790,walk,0.0
791,shower,0.0
792,went,0.0
793,crackl,0.0
794,septal,0.0
795,intermitt,0.0
796,narcot,0.0
797,reactiv,0.0
798,pco,0.0
799,man,0.0
800,ventil,0.0
801,fe,0.0
802,uti,0.0
803,intak,0.0
804,detail,0.0
805,bun,0.0
806,segment,0.0
807,pound,0.0
808,immedi,0.0
809,muscl,0.0
810,morphin,0.0063754975156886965
811,cyanosi,0.0
812,tip,0.0
813,woman,0.0
814,cardiologist,0.0
815,afib,0.0
816,diuresi,0.0
817,embol,0.0
818,syndrom,0.0
819,facial,0.0
820,tricuspid,0.0
821,problem,0.0
822,dress,0.0
823,liter,0.0
824,outsid,0.0
825,protonix,0.0
826,advanc,0.0
827,point,0.0
828,notabl,0.0
829,fraction,0.0
830,global,0.0
831,event,0.0
832,abscess,0.0
833,consolid,0.0
834,rectal,0.0
835,second,0.0
836,grade,0.0
837,awak,0.0
838,ac,0.0
839,rel,0.0
840,lipitor,0.0
841,ceftriaxon,0.0
842,rule,0.0
843,peak,0.0
844,motor,0.0
845,aerosol,0.0
846,band,0.0
847,began,0.0
848,mmm,0.0
849,clot,0.0
850,ld,0.0
851,equal,0.0
852,dure,0.0
853,hypokinesi,0.0
854,protein,0.0
855,command,0.0
856,long,0.0
857,bladder,0.0
858,dialysi,0.0
859,atenolol,0.0
860,ativan,0.0
861,trend,0.0
862,infiltr,0.0
863,hypothyroid,0.0
864,blocker,0.0
865,resum,0.0
866,person,0.0
867,exert,0.0
868,experi,0.0
869,multivitamin,0.0
870,brought,0.0
871,exclud,0.0
872,resp,0.0
873,stomach,0.0
874,nebul,0.002397537952269676
875,regard,0.0
876,pace,0.0
877,actuat,0.0
878,ambulatori,0.0
879,zosyn,0.0
880,ischemia,0.0
881,levothyroxin,0.0
882,re,0.0
883,bedtim,0.0
884,along,0.0
885,thrombu,0.00488027975951764
886,ha,0.0
887,hypertrophi,0.0
888,ca,0.0
889,vna,0.0
890,amylas,0.006439039714606952
891,agit,0.00266662896243562
892,nodul,0.0
893,omeprazol,0.0
894,earli,0.003930724501585494
895,devic,0.0
896,spontan,0.0
897,lipas,0.0
898,ischem,0.0
899,prophylaxi,0.0
900,hand,0.0
901,stage,0.009274082700324048
902,le,0.0
903,taper,0.0
904,prbc,0.0
905,neb,0.004277832070565326
906,depend,0.0
907,therefor,0.0
908,meal,0.0
909,sugar,0.0
910,flush,0.0
911,intracrani,0.0014575115610966343
912,foot,0.0
913,cap,0.0
914,ap,0.0
915,powder,0.0
916,via,0.0
917,x,0.0
918,ivf,0.0
919,cardiothorac,0.0
920,airwai,0.0
921,mrsa,0.0
922,park,0.0
923,fill,0.0
924,respond,0.0
925,jvp,0.0
926,tte,0.0
927,pna,0.009722420335789805
928,dizzi,0.0
929,asthma,0.0
930,gallop,0.005252589546272257
931,ciprofloxacin,0.0
932,order,0.0
933,clean,0.0
934,troponin,0.0
935,campu,0.0
936,lb,0.0
937,confirm,0.0
938,cirrhosi,0.005330433986460316
939,disord,0.0
940,independ,0.0
941,diures,0.0
942,colonoscopi,0.0
943,partial,0.0
944,radiologi,0.0
945,sternal,0.0
946,sc,0.0
947,groin,0.0
948,lv,0.0
949,unknown,0.0
950,comparison,0.0
951,avoid,0.0
952,coher,0.0
953,percocet,0.0
954,describ,0.0
955,deep,0.0
956,mondai,0.0
957,sust,0.0
958,withdraw,0.0
959,compress,0.0
960,hypercholesterolemia,0.0
961,appar,0.0
962,neurosurgeri,0.0
963,difficult,0.0
964,ascit,0.007136436726248612
965,calcif,0.0
966,probabl,0.0
967,ipratropium,0.0
968,enzym,0.0
969,toe,0.0
970,esophag,0.0
971,digoxin,0.0
972,insuffici,0.0
973,visit,0.0
974,titrat,0.0
975,overload,0.0
976,palpit,0.0
977,svg,0.0
978,nutrit,0.0
979,th,0.0
980,residu,0.0
981,mmhg,0.0
982,degre,0.0
983,stress,0.0
984,iii,0.0
985,wire,0.0
986,tract,0.0
987,om,0.0
988,complex,0.0
989,stabil,0.0
990,node,0.0
991,shift,0.0
992,onset,0.004825600585457517
993,appreci,0.0
994,screen,0.0
995,eat,0.0
996,subdur,0.011400414972564478
997,art,0.0
998,exacerb,0.0
999,pa,0.0
1000,cream,0.0
1001,xii,0.0
1002,penicillin,0.0
1003,overnight,0.0
1004,diltiazem,0.0
1005,yeast,0.0
1006,tr,0.0
1007,gerd,0.0031246266020570988
1008,better,0.0
1009,bilirubin,0.0
1010,common,0.0
1011,dilantin,0.0035655548242508905
1012,thei,0.0
1013,adequ,0.0
1014,cardiovascular,0.0
1015,jvd,0.0036395199104478256
1016,product,0.0
1017,data,0.0
1018,folic,0.0
1019,anti,0.0
1020,tumor,0.004288304132343757
1021,topic,0.0
1022,aggress,0.0
1023,servic,0.0
1024,adjust,0.0
1025,dissect,0.0
1026,suspens,0.0
1027,ng,0.0
1028,occlus,0.0
1029,determin,0.0
1030,club,0.0
1031,cerebr,0.0
1032,oropharynx,0.0
1033,keton,0.0
1034,lymphadenopathi,0.0
1035,trivial,0.0
1036,health,0.0
1037,lft,0.0
1038,origin,0.0
1039,lovenox,0.003011205530897255
1040,eventu,0.0
1041,mediastin,0.0
1042,diff,0.0
1043,trach,0.006138734372783328
1044,breast,0.0
1045,portabl,0.0
1046,decid,0.0
1047,main,0.0
1048,id,0.0
1049,simpl,0.0
1050,reaction,0.0
1051,radial,0.0
1052,inpati,0.0
1053,thrombosi,0.0
1054,finger,0.0
1055,period,0.0
1056,prostat,0.0
1057,ccu,0.0
1058,hypoxia,0.0
1059,enhanc,0.0
1060,amlodipin,0.0
1061,garag,0.0
1062,block,0.0
1063,ctab,0.0
1064,cn,0.0
1065,nitroglycerin,0.0
1066,anoth,0.0
1067,saphen,0.0
1068,irregular,0.0
1069,promin,0.0
1070,slight,0.0
1071,n,0.0
1072,nitrit,0.0
1073,pacemak,0.0
1074,name,0.0
1075,usual,0.0
1076,nondistend,0.0
1077,ad,0.0
1078,view,0.0
1079,husband,0.0
1080,tracheostomi,0.011676654172245018
1081,temp,0.0
1082,frequent,0.0
1083,stain,0.0
1084,electrolyt,0.0
1085,metastat,0.001467143616053298
1086,mechan,0.0
1087,pulm,0.0
1088,switch,0.0
1089,guard,0.0
1090,hemodialysi,0.0
1091,workup,0.0
1092,round,0.0
1093,cx,0.0
1094,leuk,0.0
1095,spinal,0.0
1096,nerv,0.0
1097,gradient,0.0
1098,tsh,0.0
1099,pressor,0.0
1100,similar,0.004455642267085907
1101,branch,0.0
1102,cva,0.0
1103,gait,0.0
1104,much,0.0
1105,prevent,0.0
1106,rebound,0.0
1107,metformin,0.0
1108,min,0.004453105840196838
1109,scar,0.0
1110,resist,0.0
1111,alter,0.0
1112,biliari,0.0
1113,margin,0.0
1114,er,0.0
1115,brother,0.0
1116,sister,0.0
1117,water,0.0
1118,came,0.0
1119,joint,0.0
1120,bath,0.0
1121,inform,0.0
1122,underli,0.0
1123,syncop,0.0
1124,ecg,0.0
1125,bisacodyl,0.0
1126,hous,0.0
1127,phosphat,0.0
1128,possibli,0.0
1129,middl,0.0
1130,gallbladd,0.0
1131,list,0.0
1132,duct,0.0
1133,illicit,0.0
1134,slowli,0.0
1135,peg,0.0
1136,children,0.0
1137,access,0.005436869416312982
1138,tee,0.0
1139,cefepim,0.0
1140,never,0.0
1141,malign,0.0
1142,pump,0.0
1143,fatigu,0.0
1144,reflex,0.0
1145,tempor,0.0
1146,ankl,0.0
1147,basal,0.0
1148,grew,0.0
1149,qam,0.0
1150,bromid,0.0
1151,routin,0.0
1152,mucou,0.0
1153,wa,0.0
1154,summari,0.0
1155,organ,0.0
1156,pmh,0.0
1157,radiograph,0.0
1158,space,0.0
1159,pass,0.0
1160,bacteremia,0.0
1161,leukocytosi,0.0010334646350402836
1162,ani,0.0
1163,heavi,0.0
1164,preserv,0.0
1165,arch,0.009685529973851045
1166,cover,0.0
1167,gastrointestin,0.0
1168,cyst,0.0
1169,palpat,0.0
1170,bronchoscopi,0.0
1171,dilaudid,0.0
1172,apic,0.0
1173,eeg,0.0
1174,throat,0.0
1175,portal,0.0
1176,differenti,0.0
1177,despit,0.0
1178,stand,0.0
1179,benign,0.0
1180,speak,0.0
1181,presum,0.0
1182,fluticason,0.0
1183,affect,0.0
1184,vertebr,0.0
1185,rib,0.0
1186,membran,0.0
1187,sp,0.0
1188,stapl,0.0
1189,bactrim,0.0
1190,intra,0.005811773567197276
1191,commun,0.0
1192,rv,0.0
1193,shoulder,0.0
1194,gastric,0.0
1195,gabapentin,0.0
1196,food,0.0
1197,preoper,0.0
1198,fridai,0.0
1199,icd,0.0
1200,stone,0.007456416005699154
1201,syring,0.0
1202,ercp,0.0
1203,bili,0.0
1204,face,0.0
1205,ointment,0.0
1206,least,0.0
1207,answer,0.0
1208,rale,0.0
1209,give,0.0
1210,dementia,0.0
1211,experienc,0.0
1212,porcin,0.0
1213,look,0.0
1214,atyp,0.0
1215,diamet,0.0
1216,epi,0.0
1217,singl,0.0
1218,prolong,0.0
1219,alon,0.0
1220,resolut,0.0013911569937751682
1221,wash,0.0
1222,bibasilar,0.0
1223,cardiomyopathi,0.0
1224,u,0.0
1225,lactulos,0.0
1226,appl,0.0
1227,lotion,0.0
1228,secret,0.0
1229,retir,0.0
1230,atheroma,0.0
1231,lorazepam,0.0
1232,yellow,0.0
1233,success,0.0
1234,tongu,0.0
1235,varic,0.0039043229022533627
1236,come,0.0
1237,yr,0.0
1238,carbon,0.0
1239,touch,0.0
1240,cord,0.0
1241,part,0.0
1242,kept,0.0
1243,kg,0.0
1244,arrang,0.0
1245,salin,0.0
1246,bipap,0.00446456764308444
1247,fistula,0.0
1248,vanco,0.0
1249,shock,0.0
1250,carcinoma,0.0
1251,rhonchi,0.0
1252,unless,0.0
1253,xl,0.0
1254,protocol,0.0
1255,bradycardia,0.0
1256,ibuprofen,0.0
1257,recoveri,0.0
1258,bottl,0.0
1259,ga,0.0
1260,recon,0.0
1261,dysuria,0.0
1262,viral,0.0038819210491865437
1263,ground,0.0
1264,except,0.0
1265,marri,0.0
1266,pull,0.0
1267,vision,0.0
1268,comment,0.0
1269,import,0.0
1270,discomfort,0.0
1271,load,0.0
1272,nose,0.0
1273,percutan,0.0
1274,cp,0.0
1275,feed,0.0
1276,tachycard,0.0
1277,encephalopathi,0.0
1278,definit,0.0
1279,therapeut,0.0
1280,qualiti,0.0
1281,exercis,0.0
1282,gm,0.0
1283,nph,0.0
1284,cranial,0.0
1285,wednesdai,0.0
1286,angiographi,0.0
1287,pathologi,0.0
1288,revers,0.0
1289,portion,0.0
1290,hear,0.0
1291,slow,0.0
1292,reduc,0.0
1293,alk,0.0
1294,tone,0.0
1295,empir,0.0
1296,thyroid,0.0
1297,thin,0.0
1298,veget,0.0
1299,mark,0.0
1300,deficit,0.0
1301,specif,0.0
1302,lumbar,0.0
1303,clopidogrel,0.0
1304,tremor,0.0
1305,palpabl,0.0
1306,serial,0.0
1307,hiv,0.0
1308,coliti,0.0
1309,becom,0.0
1310,numb,0.0
1311,wors,0.0
1312,dissolv,0.0
1313,contributori,0.0
1314,cocain,0.0
1315,leak,0.0
1316,address,0.0
1317,third,0.0
1318,telemetri,0.0015960008532939166
1319,bacteria,0.0
1320,restrict,0.0
1321,decis,0.0
1322,deform,0.0
1323,pelvic,0.0
1324,esophagu,0.0
1325,meropenem,0.0
1326,observ,0.0
1327,ferrou,0.0
1328,sprai,0.0
1329,statin,0.0
1330,somewhat,0.0
1331,vent,0.0
1332,sublingu,0.0
1333,correl,0.0
1334,levaquin,0.0
1335,east,0.0
1336,esrd,0.0
1337,thursdai,0.0
1338,tuesdai,0.0
